39938 2020-05-18 20:19:15 [4D.APPL] INFO - DELAY PROCESS()
39939 2020-05-18 20:19:15 [4D.APPL] INFO - DELAY PROCESS()
39940 2020-05-18 20:19:15 [4D.APPL] INFO - DELAY PROCESS()
39941 2020-05-18 20:19:16 [4D.APPL] INFO - DELAY PROCESS()
39942 2020-05-18 20:19:16 [4D.APPL] INFO - DELAY PROCESS()
39943 2020-05-18 20:19:16 [4D.APPL] INFO - DELAY PROCESS()
39944 2020-05-18 20:19:16 [4D.APPL] INFO - DELAY PROCESS()
39945 2020-05-18 20:19:16 [4D.APPL] INFO - DELAY PROCESS()
39946 2020-05-18 20:19:16 [4D.APPL] INFO - DELAY PROCESS()
39947 2020-05-18 20:19:16 [4D.APPL] INFO - DELAY PROCESS()
39948 2020-05-18 20:19:16 [4D.APPL] INFO - DELAY PROCESS()
39949 2020-05-18 20:19:16 [4D.APPL] INFO - DELAY PROCESS()
39950 2020-05-18 20:19:16 [4D.APPL] INFO - DELAY PROCESS()
39951 2020-05-18 20:19:17 [4D.APPL] INFO - DELAY PROCESS()
39952 2020-05-18 20:19:17 [4D.APPL] INFO - DELAY PROCESS()
39953 2020-05-18 20:19:17 [4D.APPL] INFO - DELAY PROCESS()
39954 2020-05-18 20:19:17 [4D.APPL] INFO - DELAY PROCESS()
39955 2020-05-18 20:19:17 [4D.APPL] INFO - DELAY PROCESS()
39956 2020-05-18 20:19:17 [4D.APPL] INFO - DELAY PROCESS()
39957 2020-05-18 20:19:17 [4D.APPL] INFO - DELAY PROCESS()
39958 2020-05-18 20:19:17 [4D.APPL] INFO - DELAY PROCESS()
39959 2020-05-18 20:19:17 [4D.APPL] INFO - DELAY PROCESS()
39960 2020-05-18 20:19:17 [4D.APPL] INFO - DELAY PROCESS()
39961 2020-05-18 20:19:18 [4D.APPL] INFO - DELAY PROCESS()
